,event_id,etype,lat,lon,depth,zerr,herr,prefor_time,mag,magtype,offset_km,CAT0,CAT1,CAT2,time_fixed,epi_fixed,depth_fixed,herr_large,zerr_large,terr_large,low_phase_count,closest_sta_too_far,too_few_sta,WC
uw10117643,quakeml:uw.anss.org/Event/UW/10117643,eq,48.4781667,-122.1073333,2522.0,,82.0,1981-07-21 02:07:06.500,0.6,Md,39.250317076409175,False,False,False,False,False,False,False,True,False,True,True,False,False
uw10118373,quakeml:uw.anss.org/Event/UW/10118373,eq,48.6915,-122.1458333,6644.0,1750.0,1180.0,1981-07-23 16:46:20.300,1.8,Md,25.809943263268295,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10119373,quakeml:uw.anss.org/Event/UW/10119373,eq,48.8416667,-122.1393333,2096.0,3500.0,1829.0,1981-07-28 23:25:43.610,1.3,Md,24.745330718420973,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10119608,quakeml:uw.anss.org/Event/UW/10119608,eq,48.8383333,-122.1325,3188.0,2520.0,786.0,1981-07-30 10:03:42.960,2.1,Md,24.157938753146578,True,True,False,False,True,True,False,False,False,False,True,False,False
uw10119823,quakeml:uw.anss.org/Event/UW/10119823,eq,48.875,-121.25549999999998,2156.0,2730.0,2024.0,1981-07-31 06:56:33.300,1.2,Md,42.61353416429534,False,False,False,False,True,True,False,False,False,False,True,False,False
uw10128793,quakeml:uw.anss.org/Event/UW/10128793,eq,48.6351667,-121.9421667,10728.0,4660.0,2706.0,1981-08-14 12:02:04.280,1.9,Md,18.004479421244746,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10129048,quakeml:uw.anss.org/Event/UW/10129048,eq,48.8703333,-122.2216667,12204.0,450.0,141.0,1981-08-15 21:17:25.420,2.4,Md,31.471536921602834,False,False,False,False,False,True,False,False,False,False,True,False,False
uw10113158,quakeml:uw.anss.org/Event/UW/10113158,eq,48.66,-121.964,-698.0,640.0,608.0,1981-09-03 01:05:43.100,1.3,Md,16.676711861262124,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10119713,quakeml:uw.anss.org/Event/UW/10119713,eq,48.3943333,-121.6971667,-1018.0,620.0,357.0,1981-09-27 15:29:46.770,0.9,Md,43.18679175575798,False,False,False,False,False,True,False,False,False,False,True,False,False
uw10121748,quakeml:uw.anss.org/Event/UW/10121748,eq,48.8648333,-122.13049999999998,6976.0,5630.0,3570.0,1981-10-09 13:06:05.350,1.3,Md,25.042011388519427,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10128578,quakeml:uw.anss.org/Event/UW/10128578,eq,48.487,-121.6805,1171.0,50080.0,6805.0,1982-01-21 16:05:46.390,2.2,Md,33.51137339551359,False,False,False,False,True,True,False,True,False,False,True,False,False
uw10128633,quakeml:uw.anss.org/Event/UW/10128633,eq,48.4926667,-121.6815,1593.0,49690.0,15980.0,1982-01-21 17:12:58.280,2.0,Md,32.888232638334,False,False,False,False,True,True,True,True,True,False,True,False,False
uw10126378,quakeml:uw.anss.org/Event/UW/10126378,eq,48.8698333,-121.9355,-1014.0,390.0,743.0,1982-02-09 12:49:33.090,2.3,Md,13.689371126283843,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10135013,quakeml:uw.anss.org/Event/UW/10135013,eq,48.5898333,-122.2235,408.0,540.0,848.0,1982-03-19 01:36:22.510,1.3,Md,36.21457206124194,False,False,False,False,False,False,False,False,False,False,True,False,False
uw10139658,quakeml:uw.anss.org/Event/UW/10139658,eq,48.6051667,-121.9071667,32791.0,1170.0,1326.0,1982-06-21 05:29:33.500,1.4,Md,19.95441943753373,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10144053,quakeml:uw.anss.org/Event/UW/10144053,eq,48.5085,-121.6108333,570.0,3010.0,2344.0,1982-08-20 07:33:57.930,1.0,Md,33.23932180254373,False,False,False,False,False,False,False,False,False,False,True,False,False
uw10149643,quakeml:uw.anss.org/Event/UW/10149643,eq,48.8545,-122.43316670000002,10186.0,770.0,651.0,1982-10-24 18:31:21.260,1.6,Md,45.97299822043161,False,False,False,False,True,True,False,False,False,False,True,False,False
uw10151128,quakeml:uw.anss.org/Event/UW/10151128,eq,48.788,-122.139,-1214.0,1850.0,1294.0,1983-03-06 18:31:10.200,1.8,Md,23.62718009588787,True,True,False,False,False,True,False,False,False,False,True,False,False
