Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime
AM,R5745,48.16216216216216,-122.21848714610034,36.0,Raspberry Shake Citizen Science Station,2018-03-11T22:58:08,2019-05-09T23:20:57
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2019-05-09T23:20:57,2019-05-25T17:00:04
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2019-05-27T18:45:57,2019-11-18T17:00:11
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2019-11-22T00:56:40,2020-01-04T17:00:13
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2020-01-04T22:07:35,2020-02-17T17:33:10
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2020-03-06T07:19:20,2020-06-24T17:00:40
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2020-06-29T07:47:27,2020-09-05T17:00:43
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2020-09-07T22:45:18,2020-11-19T17:00:58
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2020-11-21T23:38:52,2021-01-15T17:00:45
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2021-01-20T08:24:02,2021-02-24T17:02:47
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2021-03-15T00:12:43,2021-07-01T16:59:44
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2021-07-15T06:42:09,2021-07-25T17:02:02
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2021-08-02T07:55:30,2021-11-16T17:00:04
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2021-11-21T01:53:57,2022-02-23T17:00:47
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2022-02-26T01:12:22,2022-04-27T17:01:14
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2022-05-21T20:43:42,2022-08-06T17:02:49
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2022-08-12T00:16:10,2022-11-06T17:03:58
AM,R5745,48.16216216216216,-122.21824888651784,42.0,Raspberry Shake Citizen Science Station,2022-12-21T18:53:58,2023-12-19T19:19:35
AM,R5745,48.16216216216216,-122.21920193265532,42.0,Raspberry Shake Citizen Science Station,2023-12-19T19:19:35,2599-12-31T23:59:59
AM,R6093,47.81081081081081,-122.1929100271575,52.0,Raspberry Shake Citizen Science Station,2021-03-23T01:28:44,2021-03-23T05:07:56
AM,R6093,47.81081081081081,-122.19314536123088,54.0,Raspberry Shake Citizen Science Station,2021-03-23T05:07:56,2021-12-27T01:05:34
AM,R6093,47.81081081081081,-122.19338069658293,54.0,Raspberry Shake Citizen Science Station,2021-12-27T01:05:34,2599-12-31T23:59:59
AM,R6214,48.37837837837838,-122.51225310184132,28.0,Raspberry Shake Citizen Science Station,2018-03-23T21:45:35,2020-08-13T04:50:05
AM,R6214,48.37837837837838,-122.5120123790594,27.0,Raspberry Shake Citizen Science Station,2020-08-13T04:50:05,2020-08-15T17:00:37
AM,R62F8,49.21621621621622,-122.95137620760374,126.0,Raspberry Shake Citizen Science Station,2019-02-07T18:06:52,2019-05-26T17:00:04
AM,R62F8,49.21621621621622,-122.95137620760374,126.0,Raspberry Shake Citizen Science Station,2019-05-27T15:41:52,2020-01-14T17:00:14
AM,R62F8,49.21621621621622,-122.95137620760374,126.0,Raspberry Shake Citizen Science Station,2020-07-03T16:01:51,2020-12-16T17:00:53
AM,R62F8,49.21621621621622,-122.95137620760374,126.0,Raspberry Shake Citizen Science Station,2022-11-06T04:50:30,2022-11-12T17:03:22
AM,R71DA,48.22522522522522,-122.23944402073916,68.0,Raspberry Shake Citizen Science Station,2023-06-10T08:18:40,2599-12-31T23:59:59
AM,R7242,47.81981981981982,-122.19620409154237,75.0,Raspberry Shake Citizen Science Station,2022-12-04T22:05:13,2599-12-31T23:59:59
AM,R7497,49.27927927927928,-123.12768744530017,10.0,Raspberry Shake Citizen Science Station,2022-01-02T22:53:52,2022-01-02T22:56:43
AM,R7497,49.27927927927928,-123.12768744530017,42.0,Raspberry Shake Citizen Science Station,2022-01-02T22:56:43,2023-01-05T14:56:48
AM,R7D30,48.62162162162162,-123.14027852916942,5.0,Raspberry Shake Citizen Science Station,2023-04-15T18:46:46,2023-04-15T19:07:07
AM,R7D30,48.62162162162162,-123.14125446014658,5.0,Raspberry Shake Citizen Science Station,2023-04-15T19:07:07,2599-12-31T23:59:59
AM,R7FE2,48.68468468468468,-122.47593518913885,230.0,Raspberry Shake Citizen Science Station,2018-11-29T20:21:12,2019-07-04T17:00:06
AM,R7FE2,48.68468468468468,-122.47593518913885,230.0,Raspberry Shake Citizen Science Station,2019-07-30T05:58:12,2019-08-17T17:00:18
AM,R7FE2,48.68468468468468,-122.47593518913885,230.0,Raspberry Shake Citizen Science Station,2019-08-23T15:00:46,2019-09-10T17:00:11
AM,R7FE2,48.68468468468468,-122.47593518913885,230.0,Raspberry Shake Citizen Science Station,2019-10-09T05:44:01,2019-10-17T17:00:09
AM,R7FE2,48.68468468468468,-122.47593518913885,230.0,Raspberry Shake Citizen Science Station,2019-11-30T20:31:55,2019-12-19T17:00:15
AM,R7FE2,48.68468468468468,-122.47593518913885,230.0,Raspberry Shake Citizen Science Station,2020-01-09T22:18:17,2020-02-19T17:00:17
AM,R7FE2,48.68468468468468,-122.47593518913885,230.0,Raspberry Shake Citizen Science Station,2020-03-10T14:22:27,2020-03-16T17:00:21
AM,R7FE2,48.68468468468468,-122.47593518913885,230.0,Raspberry Shake Citizen Science Station,2020-05-07T16:35:58,2020-05-11T17:00:37
AM,R9505,49.21621621621622,-122.95212255991602,126.0,Raspberry Shake Citizen Science Station,2018-04-16T19:28:15,2599-12-31T23:59:59
AM,R993C,49.26126126126126,-123.12700668260256,46.0,Raspberry Shake Citizen Science Station,2024-06-08T08:12:54,2024-07-22T23:42:39
